Countries,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003
Afghanistan,7.564475772903438,7.591101928880993,7.617458191110137,7.642963026332768,7.667138742329914,7.689547502789022,7.7097643787253745,7.727451813069266,7.742316236334733,7.753894671809114,7.761614978171118,7.7646695052654895,7.76199556632217,7.7524679448940095,7.735038738258141,7.7088682913563975,7.673394777922066,7.628392725550069,7.574127666648935,7.511174265185996,7.440291232075516,7.362342452106199,7.278260540298518,7.189362036910452,7.096961382920335,7.001989729498827,6.904959746175187,6.805942091506303,6.704858815057496,6.6019582432570045,6.498111165704117,6.394634864861474,6.292025917812721,6.189884400453509
Algeria,8.303370904386401,8.321349099315672,8.339473215858401,8.357712600135649,8.376283946217654,8.395497691090481,8.415485767511884,8.43611891220736,8.457170233817354,8.47822486296084,8.49871924450305,8.51832377352334,8.536782796054814,8.55379323169898,8.569083013539146,8.582423794110552,8.593677962889373,8.602763511002284,8.60975378563338,8.61493650853259,8.618639139814006,8.621218327765282,8.623046954895234,8.624493024153606,8.625950802293518,8.627753333913628,8.630073117151879,8.632963440531615,8.636439775926252,8.640446971525314,8.644873758776596,8.649588953733819,8.654492932911177,8.659494046016938
Antigua,8.439047604089732,8.452210905286634,8.465652157724142,8.479801014060333,8.495337590016547,8.513046418798805,8.533850054180908,8.558616202123797,8.587859434722946,8.62184529178294,8.660527840998567,8.703727653822687,8.75109165329692,8.801937065295649,8.85528781148739,8.910324136315218,8.966282484935013,9.022429889398328,9.078047275210505,9.132280867820434,9.184530637310623,9.234387900284023,9.28169934632802,9.326422138907427,9.368606941935527,9.408469941507398,9.446414187633852,9.482808311128277,9.517976297036002,9.55220720119171,9.585801931878807,9.61905791798697,9.652186649164046,9.685274854457887
Argentina,9.22711403600062,9.227052202018173,9.226882516133774,9.226442258493954,9.225513734429217,9.22388346860919,9.221443653899057,9.218141887733973,9.213924578409765,9.208841514487657,9.202956559806513,9.196510170634598,9.189955318299107,9.1837995218895,9.178471247679395,9.174394970182407,9.172031623234421,9.171661461529911,9.173540888581465,9.177926997403082,9.184968150026718,9.194477125653695,9.205843428672432,9.218260261447684,9.23094544783826,9.243227271506367,9.254613451099841,9.264668824672434,9.273065409458663,9.279711520311146,9.284800441213289,9.288720189121646,9.291985235276298,9.295081079532107
Australia,9.601884785327949,9.617660182877577,9.633415254120393,9.649138431208724,9.664834222778323,9.680569256435723,9.696388505698415,9.712310310957001,9.728351421795706,9.744505077917928,9.760778084606097,9.777181123456746,9.793741548391498,9.810530134358647,9.82755854766725,9.844805006942392,9.862239407501626,9.879868744673079,9.89771328901002,9.915842881271056,9.934375400160697,9.953492457005872,9.973350994062107,9.994029452961538,10.015529984721327,10.037786020954416,10.060690047599785,10.08410968473284,10.107898259661917,10.131914456656926,10.156058814846933,10.18028363412045,10.204549736417022,10.228832161300598
Austria,9.491243733925783,9.521050383678448,9.550750286137573,9.580171104248935,9.6091409226223,9.637529878814663,9.665260793841226,9.69223256331312,9.718364834580377,9.743657227690985,9.76808306321779,9.791714993327266,9.814676939724276,9.837096389310453,9.85909296611406,9.880786084283608,9.902250384152111,9.923536315095642,9.944653319477439,9.965552242404247,9.986157570835836,10.006408575215884,10.026300984104582,10.045896736484305,10.065309866613458,10.084645444872407,10.103982055208258,10.123358127799785,10.142769156402203,10.162167128938927,10.181497347196101,10.200725163362163,10.21987114504587,10.238980607206196
Bahamas,9.597426059943153,9.598512410709494,9.5999364025312,9.602354733458677,9.606592071963021,9.613766364309399,9.624771582718205,9.639811557888716,9.658446861461591,9.679718898951457,9.70238377788564,9.725381753866973,9.747899564790993,9.769190074145175,9.788584012585508,9.805554209617531,9.819669664398758,9.830608946069553,9.838134303211811,9.842181177355192,9.842855384243473,9.840678699772546,9.836403386805296,9.830903065901522,9.824948378911785,9.819141842290694,9.813982190376027,9.809789027799539,9.80666112171737,9.804469278913368,9.802876439556835,9.801588037103748,9.800444357272863,9.799350002257068
Bahrain,9.456205255529781,9.499629500413583,9.542860072356905,9.585369026027932,9.626156244291277,9.66347293806337,9.69596549695167,9.722710969242936,9.743268184431974,9.757824177987878,9.766922381194682,9.771341574681035,9.772006288575424,9.76982513406489,9.765738742119819,9.760705690470468,9.755646064910376,9.751225282060762,9.747856343810172,9.745706337563638,9.744841863817173,9.745267112587713,9.747004576068978,9.74997047088085,9.754080480709073,9.759583029835145,9.766510968301233,9.774836777227257,9.784449200822026,9.795135936002842,9.806583069352737,9.818491730830976,9.8306308846073,9.842866054791557
Barbados,9.36266888954152,9.37142788008155,9.380180593664504,9.388980471522725,9.397969828941209,9.407325207741835,9.417291368417137,9.427976385448606,9.43927622157436,9.45095010317438,9.462723795816327,9.474453456927236,9.48611163849794,9.497644688300868,9.508898750434625,9.519631272256563,9.529618347323606,9.538603259623997,9.546436077071942,9.55312964005974,9.558874946003163,9.564047925278077,9.569095170354275,9.574479268326241,9.580560229136543,9.587495591536891,9.5952837606626,9.603825088483855,9.612940807249231,9.62240415874097,9.632003943472181,9.64160041444565,9.651188076324145,9.6607785590299
Belgium,9.469780257912745,9.495836330887904,9.5217953761281109,9.547479665244886,9.572684264657392,9.597260877413602,9.6211540682065,9.644295538051654,9.66667864932602,9.68831628181225,9.709255679758405,9.729581876794212,9.749468315463798,9.769106216477416,9.78866806622535,9.80826159542261,9.82794644410336,9.847722768758016,9.867526218279018,9.887234120496764,9.906734957850654,9.925962409443299,9.944921376816657,9.963673829470697,9.982321388522813,10.000923791137245,10.019523723866222,10.03815135730004,10.056795681332297,10.075435084481851,10.094031768343392,10.11255224864139,10.131010500152657,10.149437823467109
